2026-04-15,2026-04-17,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-289.6
2026-04-15,2026-04-17,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-362
2026-04-16,2026-04-17,WAL-MART #3434,Groceries,Sale,-30.11
2026-04-16,2026-04-17,MURPHY7600ATWALMART,Gas,Sale,-71.29
2026-04-14,2026-04-14,Payment Thank You Bill Pa,,Payment,10000
2026-04-12,2026-04-13,DOMINO'S 2786,Food & Drink,Sale,-32.77
2026-04-08,2026-04-09,REBECCA LEIFELD MA  LCPC,Health & Wellness,Sale,-20
2026-04-08,2026-04-09,REBECCA LEIFELD MA  LCPC,Health & Wellness,Sale,-20
2026-04-08,2026-04-09,CULVERS WOODSTOCK,Food & Drink,Sale,-12.63
2026-04-02,2026-04-03,CL *Chase Travel,Travel,Return,261.6
2026-04-01,2026-04-03,JOE WHEELER STATE PARK,Bills & Utilities,Sale,-153.45
2026-04-01,2026-04-01,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95
2026-03-31,2026-04-01,MLB*BREWERS TICKETS,Entertainment,Sale,-89
2026-03-28,2026-03-29,ASSOCIATES IN PSYCHIATRY,Health & Wellness,Sale,-20
2026-03-25,2026-03-25,Audible*J63QR02E3,Bills & Utilities,Sale,-14.95
2026-03-22,2026-03-24,TACO BELL #035323,Food & Drink,Sale,-12.31
2026-03-22,2026-03-24,SHELL OIL 57445585201,Gas,Sale,-70.8
2026-03-22,2026-03-23,bathandbodyworks.com,Shopping,Sale,-21.6
2026-03-22,2026-03-23,2112 GREAT CLIPS AT COUNT,Personal,Sale,-17.99
2026-03-22,2026-03-22,AUTOMATIC PAYMENT - THANK,,Payment,670.43
2026-03-20,2026-03-22,CULVERS WOODSTOCK,Food & Drink,Sale,-12.63
2026-03-20,2026-03-22,TST*TACO DALE CANTINA,Food & Drink,Sale,-38.14
2026-03-20,2026-03-22,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-7.99
2026-03-17,2026-03-19,FIVE BELOW 703,Shopping,Sale,-51.81
2026-03-17,2026-03-19,STARBUCKS STORE 54175,Food & Drink,Sale,-13.24
2026-03-18,2026-03-19,HP *INSTANT INK,Shopping,Sale,-14.09
2026-03-18,2026-03-19,MLB*BREWERS TICKETS,Entertainment,Sale,-58
2026-03-17,2026-03-18,TARGET        00011668,Shopping,Sale,-34.42
2026-03-16,2026-03-18,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-289.6
2026-03-17,2026-03-18,SAMS CLUB #6339,Gas,Sale,-50.4
2026-03-16,2026-03-18,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-362
2026-03-16,2026-03-17,SignUp *SaveTheManatee5k,Gifts & Donations,Sale,-58.08
2026-03-13,2026-03-15,DR MATTS OFFICE,Health & Wellness,Sale,-41.42
2026-03-13,2026-03-15,TACO BELL #30401,Food & Drink,Sale,-15.93
2026-03-13,2026-03-15,DD/BR #340391 Q35,Food & Drink,Sale,-5.17
2026-03-12,2026-03-13,MCDONALD'S F3488,Food & Drink,Sale,-8.89
2026-03-11,2026-03-12,WM SUPERCENTER #3434,Groceries,Sale,-12.14
2026-03-09,2026-03-10,REBECCA LEIFELD MA  LCPC,Health & Wellness,Sale,-20
2026-03-08,2026-03-10,MURPHY7600ATWALMART,Gas,Sale,-47.07
2026-03-09,2026-03-10,MCDONALD'S F14021,Food & Drink,Sale,-10.27
2026-03-08,2026-03-10,PLAYITAGAINSP #11008,Shopping,Sale,-16.26
2026-03-08,2026-03-09,MCDONALD'S M7214,Food & Drink,Sale,-21.88
2026-03-08,2026-03-09,WM SUPERCENTER #1413,Groceries,Sale,-102.8
2026-03-08,2026-03-09,MLB*BREWERS TICKETS,Entertainment,Sale,-131.5
2026-03-07,2026-03-09,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-6048
2026-03-07,2026-03-08,TARGET        00011668,Shopping,Sale,-87.05
2026-03-06,2026-03-08,TST*THE VILLAGE SQUIRE-,Food & Drink,Sale,-65.04
2026-03-06,2026-03-08,CL *Chase Travel,Travel,Sale,-261.6
2026-03-05,2026-03-05,Payment Thank You - Web,,Payment,2000
2026-03-03,2026-03-05,JEWEL OSCO 3503,Groceries,Sale,-26.02
2026-03-04,2026-03-05,WAL-MART #3434,Groceries,Sale,-15.32
2026-02-28,2026-03-02,STARBUCKS STORE 11490,Food & Drink,Sale,-13.02
2026-02-28,2026-03-01,PAYPAL *LITTLEWAYLE,Education,Sale,-525
2026-02-26,2026-03-01,MURPHY7579ATWALMART,Gas,Sale,-47.1
2026-02-26,2026-03-01,WENDY'S #0507,Food & Drink,Sale,-5.63
2026-02-26,2026-02-27,TARGET        00011668,Shopping,Sale,-18.42
2026-02-26,2026-02-27,JOSTENS INC.,Shopping,Sale,-40.99
2026-02-26,2026-02-27,TARGET        00011668,Shopping,Sale,-15
2026-02-24,2026-02-26,STARBUCKS STORE 54175,Food & Drink,Sale,-6.24
2026-02-26,2026-02-26,The Law Office of Deni,Professional Services,Sale,-4067.75
2026-02-24,2026-02-25,MCDONALD'S F12987,Food & Drink,Sale,-12.31
2026-02-24,2026-02-25,PANERA BREAD #204024 P,Food & Drink,Sale,-14.85
2026-02-24,2026-02-25,WM SUPERCENTER #3434,Groceries,Sale,-63.41
2026-02-25,2026-02-25,Audible*V12JW2S13,Bills & Utilities,Sale,-14.95
2026-02-23,2026-02-24,MCDONALD'S F3488,Food & Drink,Sale,-5.63
2026-02-21,2026-02-24,MENARDS WOODSTOCK IL,Home,Return,32.46
2026-02-22,2026-02-22,AUTOMATIC PAYMENT - THANK,,Payment,3317.47
2026-02-20,2026-02-22,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-7.99
2026-02-20,2026-02-22,REBECCA LEIFELD MA  LCPC,Health & Wellness,Sale,-60
2026-02-18,2026-02-20,CASEYS #3539,Gas,Sale,-45.7
2026-02-19,2026-02-20,ETOLLAVIS U469418751,Travel,Sale,-23.35
2026-02-19,2026-02-20,TCKTWEB*CHRISTOPHERTIT,Entertainment,Sale,-66.69
2026-02-17,2026-02-19,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-362
2026-02-18,2026-02-19,HP *INSTANT INK,Shopping,Sale,-5.96
2026-02-18,2026-02-19,WAL-MART #1413,Groceries,Sale,-199.72
2026-02-17,2026-02-19,CRYSTAL LAKE PARK DISTRI,Bills & Utilities,Sale,-289.6
2026-02-17,2026-02-18,DD/BR #340391 Q35,Food & Drink,Sale,-9.7
2026-02-14,2026-02-16,RAPID RINSE CAR WASH,Automotive,Sale,-7
2026-02-14,2026-02-16,STARBUCKS STORE 70143,Food & Drink,Sale,-12.15
2026-02-12,2026-02-15,WENDY'S #0507,Food & Drink,Sale,-11.24
2026-02-13,2026-02-15,MCDONALDS F34745,Food & Drink,Sale,-11.22
2026-02-12,2026-02-15,MENARDS WOODSTOCK IL,Home,Sale,-10.84
2026-02-14,2026-02-15,MCDONALD'S F11558,Food & Drink,Sale,-6.48
2026-02-13,2026-02-15,DOMINO'S 2786,Food & Drink,Sale,-26.78
2026-02-12,2026-02-15,MURPHY7600ATWALMART,Gas,Sale,-51.88
2026-02-13,2026-02-13,Payment Thank You - Web,,Payment,2000
2026-02-12,2026-02-13,WAL-MART #1413,Groceries,Sale,-3.84
2026-02-12,2026-02-13,DD/BR #340391 Q35,Food & Drink,Sale,-20.18
2026-02-11,2026-02-13,PANERA BREAD #202795 P,Food & Drink,Sale,-13.73
2026-02-12,2026-02-13,DOLLARTREE,Shopping,Sale,-57.96
2026-02-11,2026-02-12,WM SUPERCENTER #1079,Groceries,Sale,-5.84
2026-02-11,2026-02-12,SC* CRYSTAL LAKE LITTL,Gifts & Donations,Sale,-293
2026-02-11,2026-02-12,AVIS RENT-A-CAR,Travel,Sale,-16.31
2026-02-10,2026-02-11,CULVERS OF INVERNESS,Food & Drink,Sale,-15.2
2026-02-10,2026-02-11,HOMOSASSA RETAIL &amp; FERRY,Travel,Sale,-113.78
2026-02-10,2026-02-11,HOMOSASSA RETAIL &amp; FERRY,Travel,Sale,-18.2
2026-02-10,2026-02-11,SQ *SALTY SIREN TOURS  LL,Entertainment,Sale,-111.24
2026-02-11,2026-02-11,AMERICAN AIR0014485844826,Travel,Sale,-35
2026-02-09,2026-02-10,CULVERS OF INVERNESS,Food & Drink,Sale,-5.82
2026-02-09,2026-02-10,BP#6772867SUNSHINE # 148,Gas,Sale,-33.11
2026-02-09,2026-02-09,LYFT   *1 RIDE 02-07,Travel,Sale,-31.97
2026-02-07,2026-02-08,CHEVRON 0304793,Gas,Sale,-15.68
2026-02-07,2026-02-08,WAWA# 5283,Gas,Sale,-10.79
2026-02-07,2026-02-08,MSC Cruises,Travel,Sale,-140.88
2026-02-06,2026-02-08,MSC Cruises,Travel,Sale,-96
2026-02-04,2026-02-05,ARANTZA DUTY FREE SHOP,Shopping,Sale,-24
2026-02-04,2026-02-05,CHRISTMAS BY THE SEA,Shopping,Sale,-19
2026-01-30,2026-02-02,MENARDS WOODSTOCK IL,Home,Return,20.56
2026-02-02,2026-02-02,LYFT   *RIDE SUN 10AM,Travel,Sale,-21.6
2026-01-31,2026-02-02,ELEMENT MIAMI INTERNATION,Food & Drink,Sale,-17.15
2026-01-31,2026-02-02,ZOOT'S CAF ORD,Food & Drink,Sale,-7.81
2026-01-30,2026-02-01,DOLLARTREE,Shopping,Sale,-21.33
2026-01-30,2026-02-01,WAL-MART #3434,Groceries,Sale,-72
2026-01-29,2026-01-30,MCDONALD'S F3488,Food & Drink,Sale,-8.02
2026-01-28,2026-01-30,CHICK-FIL-A #03227,Food & Drink,Sale,-10.7
2026-01-27,2026-01-29,MURPHY7579ATWALMART,Gas,Sale,-50.42
2026-01-26,2026-01-28,UNITED      0164365258236,Travel,Sale,-35
